Date   : 08-11-2017 [14:36]             REPORT TO HELP SHIP TRUCK LOAD-BUILD TO SHIP-LONG         Page      :     1
Prod Lowell                                   Date From               To  08-14-2017              Company   :   115

Customer          From           To ZZZZZZ
Delivery Address  From           To ZZZ
Scheduling Area   From 44A       To 44A

------------------------------------------------------------------------------------------------------------------------------
Select|      |     |                 |                               |            |Ship | Schedule |    Stock |           |SCH
  Code| Cust.| Del |       Item Code | Description                   |    Date    |Time |  O/S Qty |  On Hand | Build Qty |ARA
------+------+-----+-----------------+-------------------------------+------------+-----+----------+----------+ ----------+---
      |  1465|  50 |    879100E28200 | 440A R EL T H BZ CX w/o CVR   | 08-14-2017 |14:57|    12.00 |     4.00 |      8.00 |44A
      |  1465|  50 |    879100E28200 | 440A R EL T H BZ CX w/o CVR   | 08-14-2017 |14:57|     8.00 |     0.00 |      8.00 |44A
      |  1465|  50 |    879100E28200 | 440A R EL T H BZ CX w/o CVR   | 08-14-2017 |14:57|    12.00 |     0.00 |     12.00 |44A
      |  1465|  50 |    879100E28200 | 440A R EL T H BZ CX w/o CVR   | 08-14-2017 |14:57|     8.00 |     0.00 |      8.00 |44A
      |  1465|  51 |    879100E28200 | 440A R EL T H BZ CX w/o CVR   | 08-14-2017 |14:57|    16.00 |     0.00 |     16.00 |44A
      |  1465|  51 |    879100E28200 | 440A R EL T H BZ CX w/o CVR   | 08-14-2017 |14:57|    20.00 |     0.00 |     20.00 |44A
      |  1465|  51 |    879100E28200 | 440A R EL T H BZ CX w/o CVR   | 08-14-2017 |14:57|    16.00 |     0.00 |     16.00 |44A
      |  1465|  51 |    879100E28200 | 440A R EL T H BZ CX w/o CVR   | 08-14-2017 |14:57|    16.00 |     0.00 |     16.00 |44A
      |  1465|  50 |    879400E27200 | 440A L EL T H BZ FL w/o CVR   | 08-14-2017 |14:57|     8.00 |     4.00 |      4.00 |44A
      |  1465|  50 |    879400E27200 | 440A L EL T H BZ FL w/o CVR   | 08-14-2017 |14:57|    12.00 |     0.00 |     12.00 |44A
      |  1465|  50 |    879400E27200 | 440A L EL T H BZ FL w/o CVR   | 08-14-2017 |14:57|     8.00 |     0.00 |      8.00 |44A
      |  1465|  51 |    879400E27200 | 440A L EL T H BZ FL w/o CVR   | 08-14-2017 |14:57|    20.00 |     0.00 |     20.00 |44A
      |  1465|  51 |    879400E27200 | 440A L EL T H BZ FL w/o CVR   | 08-14-2017 |14:57|    16.00 |     0.00 |     16.00 |44A
      |  1465|  51 |    879400E27200 | 440A L EL T H BZ FL w/o CVR   | 08-14-2017 |14:57|    16.00 |     0.00 |     16.00 |44A
      |  1465|  51 |    879400E27200 | 440A L EL T H BZ FL w/o CVR   | 08-14-2017 |14:57|    16.00 |     0.00 |     16.00 |44A
